Sensor Type,Sensor Type Numeral,Pos X/ rho,Pos Y/ phi,drho,Timestamp,Ground_Truth_X,Ground_Truth_Y,Ground_Truth_Vx,Ground_Truth_Vy,Yaw,Yaw_Rate,VX_Calculated,VY_Calculated,Yaw_Calculated,Yaw_rate_Calculated
L,1,1.82E+01,6.66E+00,0,1.48E+15,1.83E+01,6.40E+00,2.92E+00,3.97E+00,9.36E-01,4.53E-01,0.9014,4.91533,1.389426132,0.210324417
L,1,1.85E+01,6.76E+00,0,1.48E+15,1.86E+01,6.81E+00,2.74E+00,4.09E+00,9.81E-01,4.61E-01,3.2575,0.98752,0.294346687,-1.030486534
L,1,1.91E+01,7.18E+00,0,1.48E+15,1.88E+01,7.22E+00,2.54E+00,4.20E+00,1.03E+00,4.68E-01,6.0194,4.23314,0.612903505,0.86574391
L,1,1.90E+01,7.87E+00,0,1.48E+15,1.91E+01,7.65E+00,2.33E+00,4.31E+00,1.07E+00,4.75E-01,-1.3037,6.85355,-1.382819559,-0.343631419
L,1,1.91E+01,8.13E+00,0,1.48E+15,1.93E+01,8.08E+00,2.12E+00,4.41E+00,1.12E+00,4.82E-01,1.1827,2.59649,1.143378403,-1.042176101
L,1,1.93E+01,8.31E+00,0,1.48E+15,1.95E+01,8.53E+00,1.90E+00,4.50E+00,1.17E+00,4.88E-01,2.1499,1.78963,0.694201832,-0.6952628
L,1,2.00E+01,8.89E+00,0,1.48E+15,1.97E+01,8.98E+00,1.68E+00,4.58E+00,1.22E+00,4.95E-01,6.5687,5.83189,0.726050604,0.740924809
L,1,2.02E+01,9.46E+00,0,1.48E+15,1.98E+01,9.44E+00,1.45E+00,4.65E+00,1.27E+00,5.01E-01,1.535,5.68885,1.307246618,0.028408828
L,1,2.02E+01,9.91E+00,0,1.48E+15,2.00E+01,9.91E+00,1.21E+00,4.71E+00,1.32E+00,5.06E-01,-0.0007,4.49277,-1.570640521,0.661710921
L,1,2.02E+01,1.05E+01,0,1.48E+15,2.01E+01,1.04E+01,9.68E-01,4.76E+00,1.37E+00,5.11E-01,0.087,5.59957,1.555260669,1.491724096
L,1,2.04E+01,1.10E+01,0,1.48E+15,2.02E+01,1.09E+01,7.22E-01,4.79E+00,1.42E+00,5.16E-01,2.0504,5.4214,1.209218853,-0.090497779
L,1,2.03E+01,1.13E+01,0,1.48E+15,2.02E+01,1.13E+01,4.73E-01,4.82E+00,1.47E+00,5.21E-01,-0.5463,3.3748,-1.410312176,0.667476038
L,1,2.06E+01,1.19E+01,0,1.48E+15,2.03E+01,1.18E+01,2.20E-01,4.83E+00,1.53E+00,5.25E-01,2.9767,5.9381,1.106118616,0.629003848
L,1,2.03E+01,1.25E+01,0,1.48E+15,2.03E+01,1.23E+01,-3.39E-02,4.83E+00,1.58E+00,5.29E-01,-2.8781,5.5448,-1.092014955,0.067074879
L,1,2.05E+01,1.29E+01,0,1.48E+15,2.03E+01,1.28E+01,-2.89E-01,4.82E+00,1.63E+00,5.33E-01,1.7175,3.9574,1.161329829,-0.332586466
L,1,2.02E+01,1.32E+01,0,1.48E+15,2.02E+01,1.33E+01,-5.45E-01,4.79E+00,1.68E+00,5.36E-01,-3.0373,2.7642,-0.738358856,0.245869205
L,1,2.03E+01,1.39E+01,0,1.48E+15,2.01E+01,1.38E+01,-8.01E-01,4.75E+00,1.74E+00,5.39E-01,1.3023,7.2084,1.392060084,0.797305886
L,1,2.01E+01,1.43E+01,0,1.48E+15,2.01E+01,1.42E+01,-1.05E+00,4.70E+00,1.79E+00,5.42E-01,-2.0297,4.4741,-1.144906659,0.687187214
L,1,1.98E+01,1.48E+01,0,1.48E+15,1.99E+01,1.47E+01,-1.31E+00,4.63E+00,1.85E+00,5.44E-01,-3.4059,4.3592,-0.907554161,0.083297582
L,1,2.00E+01,1.52E+01,0,1.48E+15,1.98E+01,1.51E+01,-1.56E+00,4.55E+00,1.90E+00,5.46E-01,2.3986,4.3234,1.064279314,-0.00616755
L,1,1.99E+01,1.56E+01,0,1.48E+15,1.96E+01,1.56E+01,-1.80E+00,4.45E+00,1.96E+00,5.47E-01,-1.0774,3.4874,-1.271157319,0.236023679
L,1,1.95E+01,1.60E+01,0,1.48E+15,1.94E+01,1.60E+01,-2.04E+00,4.35E+00,2.01E+00,5.48E-01,-4.3825,4.5578,-0.805003494,-0.313203287
L,1,1.92E+01,1.63E+01,0,1.48E+15,1.92E+01,1.65E+01,-2.28E+00,4.23E+00,2.06E+00,5.49E-01,-2.3681,2.6203,-0.835912447,-0.765941624
L,1,1.90E+01,1.68E+01,0,1.48E+15,1.90E+01,1.69E+01,-2.50E+00,4.10E+00,2.12E+00,5.50E-01,-2.3509,5.6689,-1.177681037,1.565154453
L,1,1.86E+01,1.74E+01,0,1.48E+15,1.87E+01,1.73E+01,-2.73E+00,3.95E+00,2.17E+00,5.50E-01,-3.8816,5.4441,-0.951403983,0.145818531
L,1,1.81E+01,1.76E+01,0,1.48E+15,1.84E+01,1.77E+01,-2.94E+00,3.80E+00,2.23E+00,5.50E-01,-5.1252,1.6979,-0.319905592,1.250279529
L,1,1.82E+01,1.80E+01,0,1.48E+15,1.81E+01,1.80E+01,-3.14E+00,3.63E+00,2.28E+00,5.49E-01,1.0712,4.9314,1.356898973,0.480962838
L,1,1.79E+01,1.82E+01,0,1.48E+15,1.78E+01,1.84E+01,-3.34E+00,3.45E+00,2.34E+00,5.48E-01,-3.0763,1.7218,-0.510258648,0.658599813
L,1,1.74E+01,1.87E+01,0,1.48E+15,1.75E+01,1.87E+01,-3.52E+00,3.27E+00,2.39E+00,5.47E-01,-5.1725,4.8565,-0.753899959,-0.981381596
L,1,1.72E+01,1.89E+01,0,1.48E+15,1.71E+01,1.91E+01,-3.70E+00,3.07E+00,2.45E+00,5.46E-01,-2.083,1.8243,-0.719285254,-0.776038292
L,1,1.66E+01,1.91E+01,0,1.48E+15,1.67E+01,1.93E+01,-3.86E+00,2.86E+00,2.50E+00,5.44E-01,-6.0279,1.6562,-0.268139091,0.042586217
L,1,1.62E+01,1.96E+01,0,1.48E+15,1.63E+01,1.96E+01,-4.02E+00,2.65E+00,2.56E+00,5.42E-01,-3.3958,5.6509,-1.029692677,0.988191304
L,1,1.59E+01,1.99E+01,0,1.48E+15,1.59E+01,1.99E+01,-4.16E+00,2.43E+00,2.61E+00,5.39E-01,-3.0957,2.5324,-0.685643311,-1.474859581
L,1,1.54E+01,2.02E+01,0,1.48E+15,1.55E+01,2.01E+01,-4.28E+00,2.21E+00,2.67E+00,5.36E-01,-4.9107,3.1331,-0.567903683,-0.31961681
L,1,1.52E+01,2.04E+01,0,1.48E+15,1.51E+01,2.03E+01,-4.40E+00,1.98E+00,2.72E+00,5.33E-01,-2.3155,2.5493,-0.833420743,-0.221270431
L,1,1.47E+01,2.06E+01,0,1.48E+15,1.46E+01,2.05E+01,-4.50E+00,1.74E+00,2.77E+00,5.29E-01,-5.3515,1.7028,-0.308061265,0.271914912
L,1,1.41E+01,2.06E+01,0,1.48E+15,1.42E+01,2.07E+01,-4.60E+00,1.50E+00,2.83E+00,5.25E-01,-6.144,-0.1644,0.026751429,1.16940662
L,1,1.35E+01,2.07E+01,0,1.48E+15,1.37E+01,2.08E+01,-4.67E+00,1.26E+00,2.88E+00,5.21E-01,-5.8344,1.3296,-0.224063247,1.366459648
L,1,1.31E+01,2.08E+01,0,1.48E+15,1.32E+01,2.09E+01,-4.74E+00,1.02E+00,2.93E+00,5.16E-01,-3.6142,1.0407,-0.280363146,-0.129396363
L,1,1.29E+01,2.11E+01,0,1.48E+15,1.28E+01,2.10E+01,-4.79E+00,7.75E-01,2.98E+00,5.11E-01,-2.3432,2.2977,-0.775594345,0.779860245
L,1,1.22E+01,2.11E+01,0,1.48E+15,1.23E+01,2.11E+01,-4.83E+00,5.31E-01,3.03E+00,5.06E-01,-6.6671,0.5083,-0.076092841,0.392379636
L,1,1.17E+01,2.09E+01,0,1.48E+15,1.18E+01,2.11E+01,-4.86E+00,2.87E-01,3.08E+00,5.01E-01,-5.2477,-2.4489,0.436622987,-1.123291743
L,1,1.14E+01,2.11E+01,0,1.48E+15,1.13E+01,2.11E+01,-4.88E+00,4.41E-02,3.13E+00,4.95E-01,-3.1844,2.0374,-0.569175946,1.13973081
L,1,1.09E+01,2.09E+01,0,1.48E+15,1.08E+01,2.11E+01,-4.88E+00,-1.97E-01,3.18E+00,4.88E-01,-4.7272,-1.419,0.291619809,1.150973235
L,1,1.02E+01,2.12E+01,0,1.48E+15,1.03E+01,2.11E+01,-4.87E+00,-4.35E-01,3.23E+00,4.82E-01,-7.013,2.8201,-0.382336608,-1.076268533
L,1,1.00E+01,2.10E+01,0,1.48E+15,9.84E+00,2.10E+01,-4.86E+00,-6.69E-01,3.28E+00,4.75E-01,-1.92628,-2.2929,0.872074114,-0.787974699
L,1,9.54E+00,2.09E+01,0,1.48E+15,9.35E+00,2.10E+01,-4.83E+00,-9.00E-01,3.33E+00,4.68E-01,-4.57136,-1.0347,0.222593331,-0.443999416
L,1,8.70E+00,2.08E+01,0,1.48E+15,8.87E+00,2.09E+01,-4.79E+00,-1.13E+00,3.37E+00,4.61E-01,-8.35896,-0.5412,0.064654655,-0.129563704
L,1,8.22E+00,2.05E+01,0,1.48E+15,8.40E+00,2.07E+01,-4.74E+00,-1.35E+00,3.42E+00,4.53E-01,-4.80544,-3.382,0.613262193,-0.674394917
L,1,7.89E+00,2.04E+01,0,1.48E+15,7.92E+00,2.06E+01,-4.68E+00,-1.56E+00,3.46E+00,4.45E-01,-3.36778,-0.3389,0.100292464,1.129444746
L,1,7.18E+00,2.04E+01,0,1.48E+15,7.46E+00,2.04E+01,-4.62E+00,-1.77E+00,3.51E+00,4.37E-01,-7.05696,-0.5801,0.082018127,0.065287463
L,1,6.82E+00,2.02E+01,0,1.48E+15,7.00E+00,2.02E+01,-4.55E+00,-1.97E+00,3.55E+00,4.28E-01,-3.64868,-2.0607,0.514119451,-0.40981617
L,1,6.39E+00,2.00E+01,0,1.48E+15,6.55E+00,2.00E+01,-4.47E+00,-2.17E+00,3.59E+00,4.19E-01,-4.26284,-1.7226,0.384033104,-0.503233155
L,1,5.86E+00,1.98E+01,0,1.48E+15,6.11E+00,1.98E+01,-4.38E+00,-2.36E+00,3.64E+00,4.10E-01,-5.27951,-1.8305,0.333747808,0.105734994
L,1,5.69E+00,1.96E+01,0,1.48E+15,5.67E+00,1.96E+01,-4.29E+00,-2.54E+00,3.68E+00,4.01E-01,-1.70298,-2.5509,0.982148075,-0.198764689
L,1,5.17E+00,1.94E+01,0,1.48E+15,5.25E+00,1.93E+01,-4.19E+00,-2.72E+00,3.72E+00,3.91E-01,-5.20677,-1.3583,0.25518458,-0.328073965
L,1,4.89E+00,1.90E+01,0,1.48E+15,4.84E+00,1.90E+01,-4.09E+00,-2.88E+00,3.76E+00,3.82E-01,-2.78721,-4.5767,1.023785495,-0.926150788
L,1,4.47E+00,1.88E+01,0,1.48E+15,4.43E+00,1.87E+01,-3.99E+00,-3.04E+00,3.79E+00,3.71E-01,-4.22993,-1.4805,0.336679979,-1.134745729
L,1,4.26E+00,1.85E+01,0,1.48E+15,4.04E+00,1.84E+01,-3.88E+00,-3.19E+00,3.83E+00,3.61E-01,-2.0581,-3.53,1.042947363,-0.756427253
L,1,3.46E+00,1.82E+01,0,1.48E+15,3.66E+00,1.81E+01,-3.77E+00,-3.34E+00,3.87E+00,3.51E-01,-8.03503,-3.1398,0.372518989,-0.06519184
L,1,3.13E+00,1.77E+01,0,1.48E+15,3.28E+00,1.77E+01,-3.66E+00,-3.47E+00,3.90E+00,3.40E-01,-3.33937,-4.1765,0.896322616,-0.217292587
L,1,2.94E+00,1.78E+01,0,1.48E+15,2.92E+00,1.74E+01,-3.55E+00,-3.60E+00,3.93E+00,3.29E-01,-1.80348,0.6604,-0.351016563,1.263330079
L,1,2.55E+00,1.71E+01,0,1.48E+15,2.57E+00,1.70E+01,-3.44E+00,-3.72E+00,3.97E+00,3.18E-01,-3.90832,-7.3004,1.079264831,1.312310783
L,1,2.25E+00,1.68E+01,0,1.48E+15,2.24E+00,1.66E+01,-3.32E+00,-3.84E+00,4.00E+00,3.06E-01,-3.00364,-2.5189,0.697847717,1.383802541
L,1,1.89E+00,1.61E+01,0,1.48E+15,1.91E+00,1.63E+01,-3.21E+00,-3.94E+00,4.03E+00,2.95E-01,-3.63989,-7.2805,1.107188276,1.437962112
L,1,1.45E+00,1.61E+01,0,1.48E+15,1.59E+00,1.59E+01,-3.10E+00,-4.04E+00,4.06E+00,2.83E-01,-4.42264,-0.2007,0.045349022,-1.460682508
L,1,1.18E+00,1.54E+01,0,1.48E+15,1.29E+00,1.54E+01,-2.99E+00,-4.13E+00,4.09E+00,2.71E-01,-2.63503,-6.5692,1.189325789,-1.2971427
L,1,7.23E-01,1.50E+01,0,1.48E+15,9.96E-01,1.50E+01,-2.89E+00,-4.22E+00,4.11E+00,2.59E-01,-4.612444,-4.2088,0.739671888,-0.873459912
L,1,7.37E-01,1.47E+01,0,1.48E+15,7.13E-01,1.46E+01,-2.78E+00,-4.30E+00,4.14E+00,2.47E-01,0.145949,-3.028,-1.522633799,0.243237676
L,1,2.53E-01,1.42E+01,0,1.48E+15,4.40E-01,1.42E+01,-2.68E+00,-4.37E+00,4.16E+00,2.34E-01,-4.838653,-5.0187,0.803661381,0.379963069
L,1,4.59E-01,1.37E+01,0,1.48E+15,1.78E-01,1.37E+01,-2.58E+00,-4.44E+00,4.19E+00,2.22E-01,2.057368,-5.1729,-1.192256642,-0.022356995
L,1,-1.90E-01,1.33E+01,0,1.48E+15,-7.58E-02,1.33E+01,-2.49E+00,-4.50E+00,4.21E+00,2.09E-01,-6.495163,-4,0.551987316,-0.136290502
L,1,4.62E-02,1.29E+01,0,1.48E+15,-3.20E-01,1.28E+01,-2.40E+00,-4.56E+00,4.23E+00,1.96E-01,2.3657515,-3.5545,-0.983556665,0.050234679
L,1,-4.76E-01,1.24E+01,0,1.48E+15,-5.55E-01,1.24E+01,-2.31E+00,-4.61E+00,4.25E+00,1.83E-01,-5.2271245,-5.668,0.825841492,0.271480811
L,1,-5.83E-01,1.20E+01,0,1.48E+15,-7.82E-01,1.19E+01,-2.23E+00,-4.65E+00,4.27E+00,1.70E-01,-1.061424,-3.2473,1.254879837,0.52640856
L,1,-1.17E+00,1.14E+01,0,1.48E+15,-1.00E+00,1.14E+01,-2.16E+00,-4.70E+00,4.28E+00,1.57E-01,-5.89492,-6.3982,0.826315286,0.577701601
L,1,-1.39E+00,1.10E+01,0,1.48E+15,-1.21E+00,1.10E+01,-2.09E+00,-4.73E+00,4.30E+00,1.43E-01,-2.2077,-3.5637,1.016164311,0.655384924
L,1,-1.50E+00,1.04E+01,0,1.48E+15,-1.42E+00,1.05E+01,-2.02E+00,-4.77E+00,4.31E+00,1.30E-01,-1.03981,-6.2257,1.405304888,-1.157356875
L,1,-1.62E+00,1.02E+01,0,1.48E+15,-1.62E+00,1.00E+01,-1.96E+00,-4.80E+00,4.32E+00,1.17E-01,-1.21882,-1.8246,0.981876065,-1.530144812
L,1,-1.73E+00,9.71E+00,0,1.48E+15,-1.81E+00,9.54E+00,-1.91E+00,-4.82E+00,4.34E+00,1.03E-01,-1.15064,-5.2389,1.354595254,-1.550830026
L,1,-1.94E+00,8.77E+00,0,1.48E+15,-2.00E+00,9.05E+00,-1.86E+00,-4.84E+00,4.35E+00,8.95E-02,-2.04515,-9.43185,1.357267431,1.360610547
L,1,-2.18E+00,8.54E+00,0,1.48E+15,-2.18E+00,8.57E+00,-1.82E+00,-4.86E+00,4.35E+00,7.58E-02,-2.38474,-2.29189,0.765546731,-1.523270251
L,1,-2.22E+00,8.15E+00,0,1.48E+15,-2.36E+00,8.08E+00,-1.79E+00,-4.88E+00,4.36E+00,6.21E-02,-0.41952,-3.87701,1.463008611,-0.678744241
L,1,-2.60E+00,7.60E+00,0,1.48E+15,-2.54E+00,7.59E+00,-1.76E+00,-4.89E+00,4.37E+00,4.83E-02,-3.77988,-5.50514,0.969114097,0.451179472
L,1,-2.80E+00,7.06E+00,0,1.48E+15,-2.72E+00,7.10E+00,-1.74E+00,-4.90E+00,4.37E+00,3.45E-02,-2.01909,-5.38877,1.212302059,0.065993681
L,1,-2.75E+00,6.87E+00,0,1.48E+15,-2.89E+00,6.61E+00,-1.72E+00,-4.91E+00,4.37E+00,2.07E-02,0.52143,-1.95336,-1.309938727,0.9340427
L,1,-2.90E+00,6.23E+00,0,1.48E+15,-3.06E+00,6.12E+00,-1.71E+00,-4.91E+00,4.38E+00,6.91E-03,-1.55658,-6.38782,1.331775275,1.132578676
L,1,-3.18E+00,5.53E+00,0,1.48E+15,-3.23E+00,5.63E+00,-1.71E+00,-4.91E+00,4.38E+00,-6.91E-03,-2.75639,-6.98873,1.195122518,0.464317491
L,1,-3.43E+00,5.11E+00,0,1.48E+15,-3.40E+00,5.14E+00,-1.72E+00,-4.91E+00,4.38E+00,-2.07E-02,-2.52504,-4.25943,1.035679096,1.486233149
L,1,-3.69E+00,4.52E+00,0,1.48E+15,-3.58E+00,4.65E+00,-1.73E+00,-4.90E+00,4.37E+00,-3.45E-02,-2.64042,-5.83107,1.145600491,1.497514033
L,1,-4.00E+00,4.05E+00,0,1.48E+15,-3.75E+00,4.16E+00,-1.75E+00,-4.89E+00,4.37E+00,-4.83E-02,-3.08032,-4.75127,0.995606495,-1.183935318
L,1,-3.88E+00,3.75E+00,0,1.48E+15,-3.93E+00,3.67E+00,-1.77E+00,-4.88E+00,4.36E+00,-6.21E-02,1.21851,-2.95065,-1.179164929,0.396660927
L,1,-4.15E+00,3.22E+00,0,1.48E+15,-4.11E+00,3.18E+00,-1.80E+00,-4.87E+00,4.36E+00,-7.58E-02,-2.7066,-5.32089,1.100233382,0.543257211
L,1,-4.32E+00,2.55E+00,0,1.48E+15,-4.29E+00,2.70E+00,-1.84E+00,-4.85E+00,4.35E+00,-8.95E-02,-1.73316,-6.69344,1.317426916,-0.953909165
L,1,-4.61E+00,2.09E+00,0,1.48E+15,-4.47E+00,2.21E+00,-1.88E+00,-4.83E+00,4.34E+00,-1.03E-01,-2.87722,-4.58422,1.010303942,-1.073799781
L,1,-4.87E+00,1.53E+00,0,1.48E+15,-4.66E+00,1.73E+00,-1.93E+00,-4.81E+00,4.33E+00,-1.17E-01,-2.56059,-5.57498,1.140235238,-1.261471742
L,1,-4.67E+00,1.29E+00,0,1.48E+15,-4.86E+00,1.25E+00,-1.99E+00,-4.78E+00,4.32E+00,-1.30E-01,2.00501,-2.47991,-0.890893231,0.595746727
L,1,-4.85E+00,8.26E-01,0,1.48E+15,-5.06E+00,7.74E-01,-2.05E+00,-4.75E+00,4.30E+00,-1.43E-01,-1.87193,-4.607655,1.184900588,0.501937362
L,1,-5.12E+00,2.57E-01,0,1.48E+15,-5.27E+00,3.01E-01,-2.12E+00,-4.71E+00,4.29E+00,-1.57E-01,-2.68115,-5.683504,1.130009227,0.925908661
L,1,-5.30E+00,-2.13E-01,0,1.48E+15,-5.49E+00,-1.69E-01,-2.19E+00,-4.67E+00,4.27E+00,-1.70E-01,-1.76627,-4.702928,1.21152764,0.820044028
L,1,-5.85E+00,-4.46E-01,0,1.48E+15,-5.71E+00,-6.34E-01,-2.27E+00,-4.63E+00,4.26E+00,-1.83E-01,-5.53863,-2.328194,0.39793021,-0.561835065
L,1,-5.88E+00,-1.27E+00,0,1.48E+15,-5.94E+00,-1.09E+00,-2.35E+00,-4.58E+00,4.24E+00,-1.96E-01,-0.24768,-8.228289,1.54070438,-0.83977597
L,1,-6.27E+00,-1.51E+00,0,1.48E+15,-6.18E+00,-1.55E+00,-2.44E+00,-4.53E+00,4.22E+00,-2.09E-01,-3.94281,-2.40749,0.54817907,-1.005170211
L,1,-6.34E+00,-2.14E+00,0,1.48E+15,-6.43E+00,-2.00E+00,-2.53E+00,-4.47E+00,4.20E+00,-2.22E-01,-0.67435,-6.27468,1.463735638,-0.869108942
L,1,-6.79E+00,-2.45E+00,0,1.48E+15,-6.69E+00,-2.44E+00,-2.63E+00,-4.40E+00,4.17E+00,-2.34E-01,-4.52806,-3.0895,0.598748436,-0.690705586
L,1,-6.80E+00,-3.10E+00,0,1.48E+15,-6.96E+00,-2.88E+00,-2.73E+00,-4.33E+00,4.15E+00,-2.47E-01,-0.07422,-6.55066,1.559466656,-0.660632052
